objectid,filename,title,format,date,subject,location,creator,description,type,language,contentwarning
coll001,parsonage.jpg,Our parsonage above and chapel & extra rooms below Photo,image/jpg,,Mission,"Oran, Algeria","Butler, Carol",Photograph of the parsonage in Oran.,Image/Photo,,No content warnings apply
coll002,butlerletterdec76.pdf,Christmas 1976 Letter,application/pdf,1976-12-26,Mission; Family Life; Christmas; Local Culture,"Oran, Algeria; Tlemcen, Algeria; Morocco; Lyon, France","Butler, David; Butler, Carol","Letter about celebrating Christmas in 1976, including a family trip to Morocco. Also updates on the logistical issues the church has been facing with transportation for parishioners to and from the church for activities.",Text/Letter,English,No content warnings apply
coll003,butlerletterdec82.pdf,Ourselves in relation to the Lebanese Tragedy Letter,application/pdf,1982-12,History; Politics (International),Lebanon; Israel; Palestine,"Butler, David; Butler, Carol","Letter discussing the history of Israel and Palestine in relation to the 1982 Lebanon War, including the United States' responsibility in military and economic support for Israel and how the Arab populations tend to view Americans and America as a whole.",Text/Letter,English,Mentions of religious percecution; Descriptions of violence; Allusions to war
coll004,butlerletterapr86.pdf,Summer of '85 - Update on car project & ecumenical ministry Letter,application/pdf,1986-04,Mission; Little Sisters of Jesus,"Iowa, United States; Algiers, Algeria; Sahara Desert; Tlemcen, Algeria; B̩char, Algeria; Oran, Algeria","Butler, David; Butler, Carol","Letter recounting several trips, including a ""barnstorm"" around Iowa to speak with many churches about their work, and two trips taken back in Algeria with their new car to share in Christian fellowship with more distant friends. ",Text/Letter,English,No content warnings apply
coll005,butlerletterdec77.pdf,The Muslim feast of sacrifice - (Abraham's sacrifice) Letter,application/pdf,1977-12-07,Christmas; Local Culture,"Oran, Algeria","Butler, David; Butler, Carol","Letter describing and contemplating the slaughter of sheep for the yearly Muslim celebration of the ""Festival of Sacrifice.""",Text/Letter,English,Descriptions of animal death
coll006,butlerletterdec86.pdf,Christmas Greetings 1986 Letter,application/pdf,1986-12,Mission; Family Life; History; Protestant Church of Algeria,"Kansas, United States; Oran, Algeria; Cameroon; Madagascar; Chad","Butler, David; Butler, Carol","Letter recounting Carol's brief trip back to the States for a ceremony at her alma mater, some history on the Protestant mission in Oran, and the stories of two of their parishioners referred to as ""H. M."" and ""P. B.""",Text/Letter,English,Mentions of miscarriage
coll007,butlerletterdec89.pdf,1989 update/Economic & Pol. changes/Am. Police Brutality Letter,application/pdf,1989-12,Politics (Algerian); Family Life; Local Culture,"Oran, Algeria; ","Butler, David; Butler, Carol","Letter explaining the recent political changes in Algeria and the new groups/parties that have emerged. In the States, their second eldest son had an upleasant encounter with the police while taking a walk in a park at night. ",Text/Letter,English,Mentions of violence
coll008,butlerletterfeb80.pdf,How the third world (and especially the Arab world) sees us Letter,application/pdf,1980-02-18,History; Politics (International); Mission,United States; Afghanistan; Palestine; Israel; Iran,"Butler, David; Butler, Carol","Letter discussing the history of the relations between the Arab world and the West, including the many perceived betrayals during and after the World Wars.",Text/Letter,English,"Allusions to religious persecution, Mentions to violence"
coll009,butlerletterfeb85.pdf,More on our ecumenical ministry/Family/New car project Letter,application/pdf,1985-02-09,Mission; Family Life,"Tennessee, United States; Arizona, United States; Kansas, United States; Algiers, Algeria; Oran, Algeria","Butler, David; Butler, Carol","Letter giving updates on their four sons, now all back in the States for university and the two oldest pursuing grad school. Also introduces the new car project and updates on Carol's work teaching English.",Text/Letter,English,No content warnings apply
coll010,butlerletterfeb92.pdf,Annual conference/U.S. visit/The difficult situation here Letter,application/pdf,1992-02,Mission; Protestant Church of Algeria,"Schaffhausen, Switzerland; Germany; Paris, France; Iowa, United States; Kansas, United States; Arizona, United States; Tennessee, United States; Oran, Algeria","Butler, David; Butler, Carol","Letter detailing their trip to Switzerland for the Annual Conference, followed by a whirlwind trip of visiting friends, family, and churches throughout Paris, England, and North America. Then they discuss the changing political climate of Algeria.",Text/Letter,English,No content warnings apply
coll011,butlerletterjan79.pdf,New Address 1979 Letter,application/pdf,1979-01,Mission; Family Life,"Oran, Algeria; Lyon, France; New York, United States; Pennsylvania, United States; Colorado, United States; Kansas, United States; Iowa, United States; Montreal, Canada","Butler, David; Butler, Carol","Letter informing of their move and change in address, as well as other family and health updates and a trip back to the States over the past summer.",Text/Letter,English,No content warnings apply
coll012,butlerletterjuly80.pdf,The Muslim month of fasting & our own ecumenical ministry Letter,application/pdf,1980-07-17,Local Culture; Ramadan; Mission,,"Butler, David; Butler, Carol",,Text/Letter,English,
coll013,butlerletterjuly90.pdf,How we see our role here (New revised version) & July independence days & elections Letter,application/pdf,1990-07,,,"Butler, David; Butler, Carol",,Text/Letter,English,
coll014,butlerletterjuly94.pdf,But we are still writing from Kansas 1994 Letter,application/pdf,1994-07-28,,,"Butler, David; Butler, Carol",,Text/Letter,English,
coll015,butlerletterjune79.pdf,General background information on Algeria esp. political stability & economic development Letter,application/pdf,1979-06,,,"Butler, David; Butler, Carol",,Text/Letter,English,
coll016,butlerlettermar93.pdf,Unrest and the story of M.B. Letter,application/pdf,1993-03,,,"Butler, David; Butler, Carol",,Text/Letter,English,"Mentions of violence, Mentions of terrorism, Mentions of death"
coll017,butlerletteroct83.pdf,A Day in the Life of the Butlers Letter,application/pdf,1983-10,Family Life;,,"Butler, David; Butler, Carol",,Text/Letter,English,No content warnings apply
coll018,butlerletteroct84.pdf,1984 Update Letter,application/pdf,1984-10-22,,,"Butler, David; Butler, Carol",,Text/Letter,English,
coll019,butlerletteroct88.pdf,Ecumenical Ministry & the Little Sisters of Jesus,application/pdf,1988-10,Mission; Little Sisters of Jesus,,"Butler, David; Butler, Carol",,Text/Letter,English,
coll020,butlerletteroct92.pdf,1992 Update/The Pilgrimage of Friendship/The Incredible Caper of the Butler Boys/Our Present Situation Letter,application/pdf,1992-10,Family Life;,,"Butler, David; Butler, Carol",,Text/Letter,English,
coll021,butlerletteroct94.pdf,,application/pdf,1994-10-31,,,"Butler, David; Butler, Carol",,Text/Letter,English,
coll022,Butlers_with_nomad_family.jpg,Butlers with nomad family Photo,image/jpg,,,,"Butler, Paul",,Image/Photo,,No content warnings apply
coll023,inside_tent_little_sisters_of_jesus.jpg,Inside the nomad tent of the Little Sisters of Jesus Photo,image/jpg,,,,"Butler, Carol",,Image/Photo,,No content warnings apply
coll024,Oran_from_hill.tiff,Oran from hill Photo,image/tiff,,,,"Butler, Carol",,Image/Photo,,No content warnings apply